geneid,log2FoldChange,padj_a,diff.log2.fc,padj_b,label
ENSMUSG00000032334,2.987539808,7.84E-81,-0.528274903,9.12E-05,
ENSMUSG00000060913,2.985573689,1.43E-58,0.376996769,0.001949845,
ENSMUSG00000000031,2.98282628,5.42E-05,0.654986235,0.00162181,
ENSMUSG00000006435,2.968078975,5.67E-44,-0.158524579,0.000199526,
ENSMUSG00000035131,2.964951278,7.39E-50,-0.036701352,0.005623413,
ENSMUSG00000113047,2.961099605,1.12E-15,1.049912505,1.45E-05,
ENSMUSG00000020473,2.960246035,3.78E-77,1.074411317,0.004570882,
ENSMUSG00000033763,2.952135588,2.66E-53,-0.795471731,3.63E-10,
ENSMUSG00000036052,2.930147791,3.20E-55,-1.035387305,5.62E-06,
ENSMUSG00000034457,2.885464905,2.15E-35,-0.52482351,1.66E-10,
ENSMUSG00000110440,2.862899095,0.052611829,-0.239971884,0.00851138,
ENSMUSG00000026208,2.860163819,9.46E-77,0.44121206,4.47E-05,
ENSMUSG00000034854,2.846300019,1.50E-54,2.078031608,0.005623413,
ENSMUSG00000000957,2.836400524,5.90E-47,0.27872318,2.00E-77,
ENSMUSG00000026837,2.834895419,9.76E-73,-1.462583814,4.47E-08,
ENSMUSG00000028763,2.825543354,2.42E-42,-0.656756127,2.40E-08,
ENSMUSG00000054939,2.82173124,2.01E-07,-3.402296279,0.003311311,
ENSMUSG00000037573,2.812441799,1.37E-54,0.58001526,1.82E-05,
ENSMUSG00000025085,2.811728168,1.64E-173,0.456726132,0.003801894,
ENSMUSG00000042485,2.80111958,5.99E-71,-0.327155717,6.31E-16,
ENSMUSG00000053334,2.783130655,6.81E-23,1.353081149,0.00724436,
ENSMUSG00000025083,2.782697367,3.46E-59,0.751538125,0.001513561,
ENSMUSG00000020135,2.776000091,3.69E-13,-2.558850061,1.10E-05,
ENSMUSG00000040152,2.76449802,4.81E-13,0.327345623,1.26E-68,
ENSMUSG00000039952,2.741826396,4.50E-30,-0.394953843,2.51E-11,
ENSMUSG00000086544,2.740713802,1.34E-06,2.283854438,1.20E-06,
ENSMUSG00000006575,2.732224778,9.13E-27,2.353272568,6.76E-06,
ENSMUSG00000102018,2.731997756,1.68E-07,1.304915021,0.004677351,
ENSMUSG00000038615,2.724112756,9.81E-59,0.771446903,2.40E-07,
ENSMUSG00000062901,2.710373582,6.30E-61,1.368984693,0.007413102,
ENSMUSG00000032363,2.705528347,1.13E-99,-0.236117095,1.23E-07,
ENSMUSG00000003812,2.695235583,2.38E-37,-0.298706534,0.000954993,
ENSMUSG00000038175,2.694810718,4.19E-29,0.683687445,0.007943282,
ENSMUSG00000041954,2.688251316,0.026157272,-0.70031102,0.003311311,
ENSMUSG00000023885,2.687354312,2.21E-36,-0.464842118,1.10E-07,
ENSMUSG00000020836,2.681693031,7.85E-67,-0.337990155,0.000562341,
ENSMUSG00000064267,2.680486643,0.16430649,-0.338424988,0.000512861,
ENSMUSG00000036333,2.678296438,1.51E-124,-0.616060073,8.13E-07,
ENSMUSG00000037697,2.674207026,2.98E-47,1.216516332,0.001380384,
ENSMUSG00000025997,2.667985021,2.73E-13,1.273297202,0.004265795,
ENSMUSG00000029769,2.655950726,1.98E-28,1.931516327,0.007585776,
ENSMUSG00000117050,2.646526679,0.014031189,0.053168946,0.000107152,
ENSMUSG00000041117,2.635137288,4.03E-27,0.334919126,7.41E-05,
ENSMUSG00000000631,2.63343267,1.63E-95,1.733184873,1.70E-09,
ENSMUSG00000042207,2.619745512,3.98E-58,1.624086802,4.79E-06,
ENSMUSG00000019647,2.61762881,4.50E-35,-0.735605145,8.71E-06,
ENSMUSG00000033705,2.613741648,1.56E-43,2.467105444,9.77E-06,
ENSMUSG00000047735,2.60452071,5.08E-26,1.068231233,3.98E-24,
ENSMUSG00000070469,2.594034272,1.05E-15,1.348281927,0.002570396,
ENSMUSG00000037370,2.579300199,1.93E-26,0.733585052,0.000501187,
ENSMUSG00000051586,2.575728293,1.28E-53,-0.269974998,6.92E-06,
ENSMUSG00000039062,2.572847333,8.92E-15,0.419803679,3.72E-05,
ENSMUSG00000054893,2.570072124,8.44E-16,1.754675293,9.33E-05,
ENSMUSG00000032238,2.558705491,0.001666862,4.832119334,0.002344229,
ENSMUSG00000045005,2.542780239,2.39E-27,0.892868959,0.003890451,
ENSMUSG00000059901,2.541794973,2.44E-46,-0.925727013,3.16E-16,
ENSMUSG00000044308,2.541031788,4.36E-38,0.478765307,0.000691831,
ENSMUSG00000024381,2.537593006,6.18E-85,-0.089397891,0.000707946,
ENSMUSG00000090086,2.532512225,5.16E-17,1.996856717,0.002454709,
ENSMUSG00000030681,2.528032785,7.43E-89,-0.144543823,0.000489779,
ENSMUSG00000024663,2.526435335,4.06E-08,2.184340572,0.000295121,
ENSMUSG00000022098,2.525053381,3.92E-47,-0.117963575,7.94E-12,
ENSMUSG00000005534,2.521459963,1.35E-41,0.009825828,1.15E-05,
ENSMUSG00000034160,2.519697205,2.50E-75,1.492312911,4.17E-09,
ENSMUSG00000095041,2.518767553,5.70E-72,-0.558929557,7.94E-09,
ENSMUSG00000028015,2.51524152,3.00E-20,1.481873185,0.000691831,
ENSMUSG00000085767,2.509750804,1.84E-05,0.944803854,0.000660693,
ENSMUSG00000044716,2.49609807,1.37E-09,-0.522571886,0.001819701,
ENSMUSG00000024940,2.487230891,1.90E-23,-0.082429447,1.58E-13,
ENSMUSG00000022146,2.48703331,3.18E-32,1.048904586,0.00144544,
ENSMUSG00000021830,2.473696094,1.42E-27,-0.635234967,0.000707946,
ENSMUSG00000015501,2.456402388,2.96E-35,0.179835537,0.003235937,
ENSMUSG00000047953,2.453753761,0.006336443,1.91209439,0.005623413,
ENSMUSG00000042851,2.430305264,2.26E-13,1.419354005,0.000371535,
ENSMUSG00000055897,2.428578401,4.94E-23,0.399438208,0.00724436,
ENSMUSG00000105881,2.423459462,2.77E-05,1.760595856,0.000676083,
ENSMUSG00000086725,2.423067904,1.83E-06,1.267469035,0.007943282,
ENSMUSG00000059493,2.420917201,2.28E-17,1.536606326,0.004365158,
ENSMUSG00000020019,2.41797759,2.42E-16,-0.070841624,2.45E-06,
ENSMUSG00000034163,2.409079751,2.22E-37,1.579815867,3.98E-34,
ENSMUSG00000061315,2.403842457,1.52E-94,1.389655785,2.51E-21,
ENSMUSG00000041775,2.394983905,2.24E-20,1.152825607,1.17E-06,
ENSMUSG00000037266,2.391646386,1.32E-65,1.02674369,5.01E-18,
ENSMUSG00000087574,2.390416742,1.28E-12,2.036601471,9.55E-07,
ENSMUSG00000031486,2.374994603,2.23E-30,-0.098631357,0.001318257,
ENSMUSG00000038497,2.372262716,6.78E-29,0.314042298,0.000123027,
ENSMUSG00000039763,2.371556827,1.11E-09,1.497392162,5.50E-05,
ENSMUSG00000036054,2.368607892,1.70E-23,-0.232096757,0.000346737,
ENSMUSG00000029174,2.367509173,4.85E-73,-1.144703761,0.003388442,
ENSMUSG00000083246,2.366148344,0.11097784,-2.273656547,0.008709636,
ENSMUSG00000063077,2.364482402,5.39E-19,-1.358247095,4.07E-08,
ENSMUSG00000042599,2.362095323,3.34E-28,0.788636505,0.008317638,
ENSMUSG00000051550,2.360696911,2.28E-18,1.070182643,0.004265795,
ENSMUSG00000031070,2.355135707,2.26E-21,1.404776173,0.004365158,
ENSMUSG00000038146,2.353456788,2.21E-61,-0.185662969,0.007079458,
ENSMUSG00000034295,2.341887961,7.41E-30,0.142246214,0.00057544,
ENSMUSG00000026308,2.340409469,1.61E-12,-0.127522735,2.00E-18,
ENSMUSG00000040848,2.339760614,8.68E-35,-0.066047107,0.000151356,
ENSMUSG00000049858,2.338963013,2.39E-47,-0.497748563,1.00E-17,
ENSMUSG00000046785,2.336967583,1.29E-27,-0.160962961,2.29E-06,
ENSMUSG00000018593,2.336650402,3.21E-19,0.227837598,0.001258925,
ENSMUSG00000056313,2.329344267,3.85E-12,1.132420882,6.76E-10,
ENSMUSG00000032440,2.327449291,9.85E-83,-0.292768474,2.00E-17,
ENSMUSG00000028649,2.325522032,1.90E-62,-0.223045333,5.01E-25,
ENSMUSG00000026207,2.322360584,3.64E-24,0.052853488,0.005011872,
ENSMUSG00000038354,2.320646363,0.021653794,-1.326155675,0.004073803,
ENSMUSG00000049811,2.307888261,0.000131918,1.20360998,0.004466836,
ENSMUSG00000029068,2.30626218,8.06E-26,0.156302477,6.92E-05,
ENSMUSG00000031378,2.30295609,4.53E-17,2.063592681,0.008709636,
ENSMUSG00000042686,2.297898219,5.88E-60,-0.513431731,5.75E-05,
ENSMUSG00000014776,2.294933196,5.23E-22,-0.783842179,1.00E-10,
ENSMUSG00000031561,2.291753013,9.23E-26,0.450864269,1.86E-09,
ENSMUSG00000022075,2.29122809,1.96E-48,-0.175940192,3.09E-07,
ENSMUSG00000031785,2.290744491,5.06E-23,-0.007283363,0.004570882,
ENSMUSG00000067071,2.287390396,3.62E-23,-0.247788191,5.01E-22,
ENSMUSG00000024187,2.286187541,3.52E-74,-0.483271694,0.00691831,
ENSMUSG00000034858,2.279536458,6.68E-29,2.375366552,1.55E-06,
ENSMUSG00000021458,2.277817381,6.73E-44,3.541782135,0.000144544,
ENSMUSG00000054263,2.277288367,1.06E-27,0.630976944,0.00128825,
ENSMUSG00000026944,2.267407394,6.18E-32,-0.306422161,0.001698244,
ENSMUSG00000019843,2.266498152,5.20E-61,0.566731845,0.000263027,
ENSMUSG00000035877,2.264859507,2.24E-44,-0.231570144,5.25E-05,
ENSMUSG00000034243,2.258891288,4.41E-27,0.073528498,0.000316228,
ENSMUSG00000057894,2.25612603,1.07E-17,1.275663392,0.000346737,
ENSMUSG00000034842,2.254284913,0.001823571,-0.643172832,0.00057544,
ENSMUSG00000022324,2.250980222,3.15E-33,-0.850464191,1.00E-14,
ENSMUSG00000063011,2.250264552,7.92E-15,-0.148897939,0.001659587,
ENSMUSG00000026748,2.245507237,0.001613897,2.146140489,0.005128614,
ENSMUSG00000005823,2.243685766,7.62E-38,0.481063216,0.001584893,
ENSMUSG00000024818,2.236740376,3.44E-09,-0.78504292,0.00616595,
ENSMUSG00000021133,2.235442008,4.22E-47,0.164981038,0.003630781,
ENSMUSG00000032712,2.231727088,8.46E-103,0.747239735,2.51E-91,
ENSMUSG00000018171,2.228174253,9.70E-45,1.315792324,6.31E-14,
ENSMUSG00000037868,2.227031135,7.48E-17,1.142409317,0.000758578,
ENSMUSG00000022272,2.216126469,3.24E-27,-0.450069574,2.00E-22,
ENSMUSG00000033713,2.215807324,1.47E-27,1.082854873,0.007762471,
ENSMUSG00000039087,2.212515143,9.13E-16,1.859834899,0.000398107,
ENSMUSG00000021127,2.211814457,2.72E-28,0.094776177,0.002290868,
ENSMUSG00000020682,2.20844952,6.36E-19,1.037579125,0.007943282,
ENSMUSG00000052911,2.207155018,3.72E-47,-0.940086093,1.26E-09,
ENSMUSG00000048249,2.205937707,1.85E-36,0.913292233,0.002137962,
ENSMUSG00000100255,2.205912563,0.297691491,-3.206623981,0.002398833,
ENSMUSG00000024937,2.205257681,5.86E-135,-0.420572749,2.51E-47,
ENSMUSG00000072812,2.205143184,1.38E-35,0.729299396,0.004897788,
ENSMUSG00000042744,2.20281481,3.27E-19,-0.239600827,1.12E-07,
ENSMUSG00000039501,2.200705646,6.67E-21,0.375865456,0.000794328,
ENSMUSG00000034723,2.19940421,1.64E-13,-0.021819472,1.17E-07,
ENSMUSG00000099881,2.195608948,2.45E-08,1.50916823,0.00676083,
ENSMUSG00000046743,2.189156931,5.99E-07,0.972709738,0.000112202,
ENSMUSG00000026409,2.187270776,3.23E-12,1.573319418,0.000537032,
ENSMUSG00000064368,2.185793106,3.69E-18,-0.066215694,0.003981072,
ENSMUSG00000013419,2.182360252,1.77E-38,0.141345819,0.002137962,
ENSMUSG00000025583,2.179253262,3.02E-27,-0.033135171,0.007079458,
ENSMUSG00000022822,2.177658319,1.88E-91,1.422249723,4.90E-06,
ENSMUSG00000035673,2.176337732,1.33E-32,-0.654856767,0.003090295,
ENSMUSG00000068114,2.175402637,1.81E-33,-0.125345628,0.003467369,
ENSMUSG00000073664,2.170425345,2.39E-19,2.367783489,7.94E-06,
ENSMUSG00000075602,2.168344482,8.88E-25,-0.355795278,0.000812831,
ENSMUSG00000035835,2.16738393,3.83E-13,2.084312043,5.01E-11,
ENSMUSG00000091764,2.161794776,1.31E-05,1.679162309,2.63E-05,
ENSMUSG00000026589,2.158949432,2.24E-13,-0.77869773,0.00128825,
ENSMUSG00000102976,2.155780862,1.50E-11,0.281655483,1.29E-08,
ENSMUSG00000028248,2.155640196,6.76E-37,2.850620014,7.94E-42,
ENSMUSG00000063873,2.144066331,3.96E-14,1.840026697,0.001047129,
ENSMUSG00000024127,2.142857669,3.02E-23,-0.562158841,6.31E-11,
ENSMUSG00000086693,2.141072283,0.106015626,0.921771722,0.002818383,
ENSMUSG00000004360,2.14103531,6.73E-07,0.7003067,3.89E-09,
ENSMUSG00000031508,2.140327486,1.82E-55,-0.104640292,7.94E-11,
ENSMUSG00000007891,2.136931626,1.28E-82,0.440299015,6.31E-19,
ENSMUSG00000043336,2.126108972,1.20E-07,0.847092808,1.00E-268,
ENSMUSG00000015711,2.124268334,4.69E-38,-0.391180862,0.005495409,
ENSMUSG00000049047,2.122177838,1.86E-17,0.485671747,0.000616595,
ENSMUSG00000026554,2.121922288,3.21E-55,-0.175330238,6.31E-28,
ENSMUSG00000026131,2.109652706,4.65E-28,2.105943714,6.31E-14,
ENSMUSG00000031387,2.109289249,3.46E-19,-0.684953808,0.001412538,
ENSMUSG00000038119,2.100100972,9.76E-30,0.365229484,2.14E-07,
ENSMUSG00000023249,2.099716972,6.87E-89,-0.557682439,4.57E-09,
ENSMUSG00000004207,2.097845172,1.74E-33,0.244389465,1.00E-13,
ENSMUSG00000037363,2.096554566,5.84E-16,1.905762702,0.001819701,
ENSMUSG00000038708,2.095775195,3.73E-21,0.068255869,0.000158489,
ENSMUSG00000029661,2.093943502,4.49E-33,0.255531592,4.47E-07,
ENSMUSG00000067773,2.090287439,0.121849196,1.509641427,0.002511886,
ENSMUSG00000044068,2.084243734,6.65E-13,0.732644111,1.58E-11,
ENSMUSG00000031532,2.078530037,2.24E-44,-0.200673259,0.000794328,
ENSMUSG00000022620,2.071211165,4.76E-20,-0.69398768,2.29E-06,
ENSMUSG00000112006,2.058535206,0.275281462,5.266471247,2.34E-06,
ENSMUSG00000040943,2.05665187,5.31E-40,2.054419608,6.31E-13,
ENSMUSG00000025241,2.055044915,1.33E-24,-0.910276137,7.41E-06,
ENSMUSG00000102704,2.050314715,0.083733359,4.761050162,0.003890451,
ENSMUSG00000021614,2.043758242,1.32E-07,0.243698505,2.57E-05,
ENSMUSG00000028991,2.038249118,5.29E-27,0.028988026,0.000295121,
ENSMUSG00000039840,2.038067666,9.64E-25,-0.785013034,4.68E-08,
ENSMUSG00000097495,2.036722002,0.010727278,1.802466207,0.003090295,
ENSMUSG00000039701,2.035890519,3.73E-25,1.208030659,0.002290868,
ENSMUSG00000022263,2.035221452,6.74E-13,0.048142679,1.00E-10,
ENSMUSG00000074141,2.034767656,0.421227695,2.287716137,0.003715352,
ENSMUSG00000026958,2.029117123,8.81E-11,-0.189661271,4.37E-05,
ENSMUSG00000022995,2.026649992,7.59E-37,1.982394081,0.000251189,
ENSMUSG00000043079,2.025079162,4.17E-35,0.065338732,1.05E-05,
ENSMUSG00000051790,2.020675195,1.60E-24,-0.975613001,3.16E-24,
ENSMUSG00000039137,2.015767474,2.06E-18,-0.373689851,0.00144544,
ENSMUSG00000030562,2.011299312,9.97E-08,1.173929135,0.003715352,
ENSMUSG00000090066,2.010229392,8.63E-45,0.606931019,6.31E-30,
ENSMUSG00000037605,2.007806085,5.90E-18,0.15722487,0.002884032,
ENSMUSG00000034563,2.003266187,0.00875026,0.599572675,3.39E-06,
ENSMUSG00000026663,2.002245202,1.12E-19,0.22277223,1.78E-05,
ENSMUSG00000024043,2.00050132,2.87E-18,-0.649871439,0.001513561,
ENSMUSG00000032507,1.995245837,3.88E-26,1.455088497,0.003311311,
ENSMUSG00000028086,1.993336278,1.19E-17,0.661606054,0.000954993,
ENSMUSG00000028082,1.987302349,1.32E-26,0.095734755,0.006606934,
ENSMUSG00000028399,1.986612854,1.13E-22,-0.554091973,3.55E-05,
ENSMUSG00000025978,1.98525473,4.01E-25,0.196720241,0.000562341,
ENSMUSG00000027107,1.981970276,6.74E-27,0.458875398,0.00851138,
ENSMUSG00000049184,1.980883659,3.67E-05,0.790638042,0.001513561,
ENSMUSG00000022244,1.979628604,1.25E-39,0.377002551,0.001318257,
ENSMUSG00000064370,1.977776699,1.84E-54,0.422527207,1.58E-16,
ENSMUSG00000020032,1.976077108,6.34E-21,-0.269319136,0.000162181,
ENSMUSG00000020312,1.970545223,7.35E-23,-0.150336171,7.41E-08,
ENSMUSG00000039354,1.964565522,1.80E-15,-0.375448112,0.00042658,
ENSMUSG00000038290,1.963038282,2.68E-47,-0.18662615,2.09E-07,
ENSMUSG00000033355,1.961833411,1.52E-06,1.729047876,1.78E-05,
ENSMUSG00000056091,1.960508565,3.04E-33,0.091487851,4.07E-08,
ENSMUSG00000025350,1.959595068,1.11E-21,0.177429499,0.003090295,
ENSMUSG00000040407,1.958904985,2.92E-11,1.830155883,1.05E-07,
ENSMUSG00000030557,1.958832951,3.20E-54,-0.807718655,1.32E-07,
ENSMUSG00000035299,1.952812652,2.95E-15,3.556638752,1.58E-12,
ENSMUSG00000021910,1.950779361,4.17E-55,-0.237772387,1.00E-26,
ENSMUSG00000018102,1.947223446,3.01E-14,-0.728164755,8.13E-07,
ENSMUSG00000040429,1.940575282,0.003593828,1.664148045,2.24E-08,
ENSMUSG00000053646,1.938065499,4.54E-11,-0.436812982,0.001513561,
ENSMUSG00000021770,1.935260032,1.26E-16,-0.560978062,9.55E-06,
ENSMUSG00000039959,1.933797815,6.42E-29,0.106745738,9.12E-07,
ENSMUSG00000029714,1.92739881,1.18E-16,0.303994452,0.000912011,
ENSMUSG00000100826,1.92562892,0.00036631,2.322773648,2.45E-08,
ENSMUSG00000039982,1.924936006,8.03E-23,-0.191166223,0.000141254,
ENSMUSG00000034714,1.916016033,1.99E-14,-0.570064005,6.31E-14,
ENSMUSG00000032754,1.915255649,4.77E-27,-0.228624435,0.000144544,
ENSMUSG00000032633,1.91458954,2.84E-08,1.547580762,1.38E-07,
ENSMUSG00000063659,1.913102857,1.44E-25,0.132806342,0.009120108,
ENSMUSG00000013076,1.912912919,2.07E-14,-0.704458615,0.000275423,
ENSMUSG00000053470,1.912236132,3.95E-39,1.36330659,0.001905461,
ENSMUSG00000055065,1.910149194,4.81E-38,-0.058755949,1.00E-16,
ENSMUSG00000073448,1.907037189,0.055982101,1.786053734,0.000489779,
ENSMUSG00000020752,1.900911993,5.68E-13,-0.887030902,0.00025704,
ENSMUSG00000002496,1.894107098,2.39E-31,0.08914772,0.000891251,
ENSMUSG00000035776,1.891503835,5.02E-20,-0.218602158,0.000109648,
ENSMUSG00000001143,1.890842143,3.13E-29,-0.191190814,0.000549541,
ENSMUSG00000060519,1.887681436,1.41E-36,-0.017144703,0.000776247,
ENSMUSG00000033124,1.885151769,2.75E-31,-0.596159353,0.00060256,
ENSMUSG00000000056,1.884302272,1.91E-16,-0.780894992,7.94E-05,
ENSMUSG00000021140,1.873407749,1.85E-26,-0.23734329,1.12E-10,
ENSMUSG00000117893,1.873401911,0.060531531,-2.657887065,0.006025596,
ENSMUSG00000029103,1.869191897,1.64E-09,0.184029625,0.000301995,
ENSMUSG00000053617,1.862516667,8.24E-26,0.14028583,2.19E-09,
